collection,encoder,image_family,image_weight,validation_n,pre2025_validation_transaction_mse,pre2025_validation_transaction_rmse
BAYC,SigLIP2,HistGradientBoosting,0.7,6187,1.917467054020605,1.3847263462578463
BAYC,SigLIP2,HistGradientBoosting,0.8,6187,1.918502044235546,1.3851000123585104
BAYC,SigLIP2,HistGradientBoosting,0.9,6187,1.9196864909953402,1.3855275136190333
BAYC,SigLIP2,HistGradientBoosting,1.0,6187,1.9210203942999862,1.3860088002245823
BAYC,SigLIP2,XGBoost,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SigLIP2,XGBoost,0.1,6187,1.9144084264330778,1.3836214895819874
BAYC,SigLIP2,XGBoost,0.2,6187,1.914553526679033,1.3836739235379965
BAYC,SigLIP2,XGBoost,0.3,6187,1.9148422065097483,1.3837782360298012
BAYC,SigLIP2,XGBoost,0.4,6187,1.9152744659252228,1.3839344153265438
BAYC,SigLIP2,XGBoost,0.5,6187,1.9158503049254558,1.384142443871098
BAYC,SigLIP2,XGBoost,0.6,6187,1.9165697235104484,1.3844022982899329
BAYC,SigLIP2,XGBoost,0.7,6187,1.9174327216802012,1.3847139494062306
BAYC,SigLIP2,XGBoost,0.8,6187,1.9184392994347121,1.3850773622562431
BAYC,SigLIP2,XGBoost,0.9,6187,1.919589456773983,1.3854924961088686
BAYC,SigLIP2,XGBoost,1.0,6187,1.920883193698013,1.3859593044884158
BAYC,SigLIP2,LightGBM,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SigLIP2,LightGBM,0.1,6187,1.9143716402252042,1.3836081960675155
BAYC,SigLIP2,LightGBM,0.2,6187,1.9144948863413302,1.3836527332901598
BAYC,SigLIP2,LightGBM,0.3,6187,1.9147766441202598,1.3837545461967813
BAYC,SigLIP2,LightGBM,0.4,6187,1.915216913561992,1.3839136221462638
BAYC,SigLIP2,LightGBM,0.5,6187,1.9158156946665283,1.3841299413951453
BAYC,SigLIP2,LightGBM,0.6,6187,1.9165729874338673,1.3844034771098588
BAYC,SigLIP2,LightGBM,0.7,6187,1.91748879186401,1.3847341953833632
BAYC,SigLIP2,LightGBM,0.8,6187,1.9185631079569558,1.3851220552561265
BAYC,SigLIP2,LightGBM,0.9,6187,1.9197959357127046,1.3855670087414411
BAYC,SigLIP2,LightGBM,1.0,6187,1.9211872751312573,1.3860690008550287
BAYC,SAM,OLS,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SAM,OLS,0.1,6187,1.9145319384522528,1.383666122463166
BAYC,SAM,OLS,0.2,6187,1.9148164170321818,1.3837689174974923
BAYC,SAM,OLS,0.3,6187,1.9152603415116674,1.3839293123247542
BAYC,SAM,OLS,0.4,6187,1.9158637118907094,1.3841472869209799
BAYC,SAM,OLS,0.5,6187,1.9166265281693087,1.384422814088712
BAYC,SAM,OLS,0.6,6187,1.9175487903474648,1.3847558594739597
BAYC,SAM,OLS,0.7,6187,1.9186304984251783,1.3851463815875844
BAYC,SAM,OLS,0.8,6187,1.9198716524024484,1.3855943318310913
BAYC,SAM,OLS,0.9,6187,1.9212722522792762,1.3860996545267863
BAYC,SAM,OLS,1.0,6187,1.9228322980556598,1.3866622869522556
BAYC,SAM,Ridge,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SAM,Ridge,0.1,6187,1.9145323201631648,1.3836662603977756
BAYC,SAM,Ridge,0.2,6187,1.9148172206111953,1.3837692078562795
BAYC,SAM,Ridge,0.3,6187,1.9152616071159732,1.383929769575022
BAYC,SAM,Ridge,0.4,6187,1.915865479677498,1.3841479255041702
BAYC,SAM,Ridge,0.5,6187,1.9166288382957715,1.3844236484168317
BAYC,SAM,Ridge,0.6,6187,1.917551682970792,1.3847569039260255
BAYC,SAM,Ridge,0.7,6187,1.91863401370256,1.3851476505060967
BAYC,SAM,Ridge,0.8,6187,1.9198758304910748,1.3855958395185353
BAYC,SAM,Ridge,0.9,6187,1.9212771333363372,1.3861014152421667
BAYC,SAM,Ridge,1.0,6187,1.9228379222383474,1.3866643149076663
BAYC,SAM,ElasticNet,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SAM,ElasticNet,0.1,6187,1.914487898303158,1.3836502080739763
BAYC,SAM,ElasticNet,0.2,6187,1.9147788094325526,1.383755328601322
BAYC,SAM,ElasticNet,0.3,6187,1.9152796391600653,1.3839362843570744
BAYC,SAM,ElasticNet,0.4,6187,1.9159903874856967,1.3841930455993834
BAYC,SAM,ElasticNet,0.5,6187,1.9169110544094459,1.3845255701537065
BAYC,SAM,ElasticNet,0.6,6187,1.9180416399313147,1.384933803447412
BAYC,SAM,ElasticNet,0.7,6187,1.9193821440513004,1.3854176785544858
BAYC,SAM,ElasticNet,0.8,6187,1.9209325667694055,1.3859771162502668
BAYC,SAM,ElasticNet,0.9,6187,1.9226929080856288,1.386612025076095
BAYC,SAM,ElasticNet,1.0,6187,1.9246631679999704,1.3873223014137597
BAYC,SAM,PLS,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SAM,PLS,0.1,6187,1.9145248695027963,1.3836635680333556
BAYC,SAM,PLS,0.2,6187,1.9148057839504673,1.3837650754194035
