collection,encoder,metadata_family,image_family,metadata_config,image_config,image_weight,validation_n,pre2025_validation_transaction_rmse,pre2025_validation_transaction_mse,overall_selected_pre2025,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd
MAYC,DINOv2,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,DINOv2,XGBoost,ElasticNet,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,DINOv2,XGBoost,PLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""components"": 64}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,DINOv2,XGBoost,LinearSVR,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""C"": 1, ""epsilon"": 0.1}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,DINOv2,XGBoost,HistGradientBoosting,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,DINOv2,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,DINOv2,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,CLIP,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.1,16221,0.40195794088775966,0.1615701862427277,False,0.1672957811556088,0.09105132884554205,0.23406546363321556,0.19115654080030414,13019,2492,0.20481020783331239,0.11162968878921994,0.29273058565936405,0.24353375185129997
MAYC,CLIP,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01}",0.1,16221,0.4019582603238707,0.1615704430425926,False,0.16729573413873292,0.09105144704495353,0.23406589415027634,0.19115654080030414,13019,2492,0.20481005042835826,0.11162958586279363,0.2927316727894258,0.24353375185129997
MAYC,CLIP,XGBoost,ElasticNet,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.1,16221,0.4019680256155196,0.161578293617239,False,0.16732927147532642,0.09106845343125972,0.23375877377102228,0.19115654080030414,13019,2492,0.20488915361523546,0.11167130621425017,0.2921852349295626,0.24353375185129997
MAYC,CLIP,XGBoost,PLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""components"": 64}",0.1,16221,0.4019641567514962,0.16157518331294143,False,0.16732682151304898,0.09107529342582632,0.23378121154703246,0.19115654080030414,13019,2492,0.2048581688529856,0.11166118178575989,0.2923993000814834,0.24353375185129997
MAYC,CLIP,XGBoost,LinearSVR,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""C"": 0.1, ""epsilon"": 0.1}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,CLIP,XGBoost,HistGradientBoosting,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,16221,0.40195130615923835,0.16156485252311775,False,0.16742553892178158,0.09126326466928761,0.2328768562864193,0.19115654080030414,13019,2492,0.2048226556003553,0.11180106675167899,0.29264461150272536,0.24353375185129997
MAYC,CLIP,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,CLIP,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,SigLIP2,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.1,16221,0.4019284579011939,0.16154648527083182,False,0.16714777424724897,0.09097500254716384,0.2354201117355076,0.19115654080030414,13019,2492,0.20459495980585157,0.11149425639441321,0.2942164329661626,0.24353375185129997
MAYC,SigLIP2,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01}",0.1,16221,0.4019285531427872,0.1615465618314543,False,0.16714793027727354,0.09097510762711408,0.23541868428635404,0.19115654080030414,13019,2492,0.2045952479068167,0.11149438990702448,0.29421444526255347,0.24353375185129997
MAYC,SigLIP2,XGBoost,ElasticNet,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.001, ""l1_ratio"": 0.5}",0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
MAYC,SigLIP2,XGBoost,PLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""components"": 64}",0.1,16221,0.4019441800895738,0.16155912390787971,False,0.16722555433607558,0.0910267916046907,0.23470837113968457,0.19115654080030414,13019,2492,0.20478051102970357,0.11160598926818822,0.29293567424737044,0.24353375185129997
MAYC,SigLIP2,XGBoost,LinearSVR,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""C"": 1, ""epsilon"": 0.1}",0.1,16221,0.4019461163888633,0.16156068048008965,False,0.1671817055893425,0.09100104368932371,0.2351096576462791,0.19115654080030414,13019,2492,0.20465643550198195,0.11153625038796469,0.29379222843316855,0.24353375185129997
MAYC,SigLIP2,XGBoost,HistGradientBoosting,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,16221,0.40196233357246786,0.1615737176110239,False,0.16741431114981908,0.09119419554331046,0.232979741365697,0.19115654080030414,13019,2492,0.2049618269801228,0.11179313415100939,0.29168302773664323,0.24353375185129997
MAYC,SigLIP2,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,16221,0.40196173744591385,0.16157323837053778,False,0.1674327439173054,0.09119314046833014,0.23281083006629344,0.19115654080030414,13019,2492,0.20493582767045362,0.111791970706322,0.29186271567719724,0.24353375185129997
MAYC,SigLIP2,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,16221,0.4019679463353083,0.1615782298810253,False,0.16738828901598518,0.09118806591325601,0.23321816725029776,0.19115654080030414,13019,2492,0.204912109431395,0.11177345422686785,0.29202661866729895,0.24353375185129997
MAYC,SAM,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.1,16221,0.40196525379585374,0.1615760652591651,False,0.1673324719189311,0.09103725481834389,0.23372946227922253,0.19115654080030414,13019,2492,0.20496928954505708,0.11168551326127174,0.2916314478136367,0.24353375185129997
MAYC,SAM,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01}",0.1,16221,0.40196541597542707,0.1615761956402981,False,0.1673329916999215,0.09103755481398554,0.23372470177490412,0.19115654080030414,13019,2492,0.20497095099045007,0.11168633910689832,0.29161996394266154,0.24353375185129997
