collection,encoder,family,training_equal_token_n_transactions,training_equal_token_n_tokens,training_equal_token_rmse,training_equal_token_mae,training_equal_token_r2,training_equal_token_target_sd,training_transaction_rmse,training_transaction_mae,training_transaction_r2,training_transaction_target_sd
MAYC,DINOv2,HistGradientBoosting,95207,9568,0.7267346048055909,0.1587676716638162,0.042028829880583096,0.7425054073221995,0.5455875536113093,0.10148957653025921,0.028436141615522437,0.5535142152344568
MAYC,DINOv2,XGBoost,95207,9568,0.7269570761024114,0.1601615245306672,0.04144222313880641,0.7425054073221995,0.5458500200837928,0.10221393121775968,0.027501133936911004,0.5535142152344568
MAYC,DINOv2,LightGBM,95207,9568,0.7276894368226016,0.16057205747406558,0.039509884350092395,0.7425054073221995,0.545791896164005,0.1018981846299195,0.027708232716783132,0.5535142152344568
MAYC,CLIP,OLS,95207,9568,0.7303269209087484,0.16786096043989956,0.03253474316286098,0.7425054073221995,0.5482566874290978,0.10731604094822984,0.018906681980300433,0.5535142152344568
MAYC,CLIP,Ridge,95207,9568,0.7303736811208001,0.16799518158699112,0.03241085253933673,0.7425054073221995,0.5483675510592786,0.10752396274575031,0.018509865794434255,0.5535142152344568
MAYC,CLIP,ElasticNet,95207,9568,0.7305406919969052,0.1682483284199423,0.031968294459012725,0.7425054073221995,0.5484643615681258,0.10763547305642343,0.0181632845768801,0.5535142152344568
MAYC,CLIP,PLS,95207,9568,0.7304875477965926,0.16836878432789015,0.03210913096600787,0.7425054073221995,0.5485401439017401,0.1078738168719806,0.017891941448189064,0.5535142152344568
MAYC,CLIP,LinearSVR,95207,9568,0.7303317690925459,0.16825822528402473,0.032521898326344334,0.7425054073221995,0.5482836034258505,0.1076481473213781,0.01881034844391216,0.5535142152344568
MAYC,CLIP,HistGradientBoosting,95207,9568,0.7266578370482993,0.15844703380132713,0.042231207512168134,0.7425054073221995,0.545596752846474,0.10152464797655505,0.02840337796576098,0.5535142152344568
MAYC,CLIP,XGBoost,95207,9568,0.7261926974644661,0.1587859306595561,0.04345696624476325,0.7425054073221995,0.5455923896897673,0.10191640882275102,0.02841891768935667,0.5535142152344568
MAYC,CLIP,LightGBM,95207,9568,0.727795433903669,0.16022468761470016,0.0392300491391091,0.7425054073221995,0.5458317875322234,0.10182739409087387,0.027566099912712194,0.5535142152344568
MAYC,SigLIP2,OLS,95207,9568,0.7302294276907266,0.16752692082006224,0.03279302477049917,0.7425054073221995,0.5480760668316518,0.10690298851668328,0.019553008693776075,0.5535142152344568
MAYC,SigLIP2,Ridge,95207,9568,0.7304066404601333,0.16797201217395474,0.032323522397409876,0.7425054073221995,0.5484353568753234,0.10755484705594677,0.018267127675189676,0.5535142152344568
MAYC,SigLIP2,ElasticNet,95207,9568,0.7305369704251251,0.16825567337292152,0.0319781572643042,0.7425054073221995,0.5485495929264124,0.10777221782135045,0.017858106027731968,0.5535142152344568
MAYC,SigLIP2,PLS,95207,9568,0.7304697246457669,0.16825505267999052,0.03215636148907963,0.7425054073221995,0.5484666003074857,0.10776033604230059,0.018155269175552657,0.5535142152344568
MAYC,SigLIP2,LinearSVR,95207,9568,0.7302646747285549,0.16807732384485738,0.03269965136670283,0.7425054073221995,0.5482679452998098,0.10748567189723986,0.018866390141157208,0.5535142152344568
MAYC,SigLIP2,HistGradientBoosting,95207,9568,0.7265758196322797,0.15821305776123012,0.0424474008409802,0.7425054073221995,0.5456015636525247,0.10147353698457606,0.028386243759991214,0.5535142152344568
MAYC,SigLIP2,XGBoost,95207,9568,0.7258555256837207,0.15825807220828825,0.044345007246011314,0.7425054073221995,0.5454553195136013,0.10156680003855585,0.028907040558205366,0.5535142152344568
MAYC,SigLIP2,LightGBM,95207,9568,0.7286439599600603,0.16183777711658287,0.03698844789586497,0.7425054073221995,0.5462072188901136,0.10248203544376464,0.026227930379781772,0.5535142152344568
MAYC,SAM,OLS,95207,9568,0.7306034536861377,0.16842256592173363,0.031801957619685184,0.7425054073221995,0.5487030747467784,0.10805562980525422,0.01730843097183732,0.5535142152344568
