collection,encoder,family,encoder_learner_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
BAYC,SAM,ElasticNet,False,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1.3873223014137597,5120,1498,0.3189099531689033,0.13879265286575249,0.0035088686633207855,0.3194709364844748,0.2722055271760063,0.11397945887311578,0.01120792782261859,0.2737439007579036
BAYC,SAM,PLS,False,"{""components"": 64}",1.386693666724943,5120,1498,0.3051813590995591,0.13486952810433925,0.08745708851042855,0.3194709364844748,0.2667885191513328,0.11290796930959657,0.05017112120276335,0.2737439007579036
BAYC,SAM,LinearSVR,False,"{""C"": 1, ""epsilon"": 0.2}",1.3866639456324572,5120,1498,0.30368690857409547,0.13429314193363984,0.09637251601638275,0.3194709364844748,0.26622917924076156,0.11256195606180297,0.05414970523467055,0.2737439007579036
BAYC,SAM,HistGradientBoosting,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",1.3868023013430755,5120,1498,0.29345751143150683,0.1341200429131854,0.15622286796151053,0.3194709364844748,0.2652071456739373,0.11653851756643434,0.06139786058011665,0.2737439007579036
BAYC,SAM,XGBoost,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",1.3868228919581593,5120,1498,0.2821193792992659,0.13308491044439807,0.22016426973735181,0.3194709364844748,0.26174809691616124,0.11641794039262007,0.085722225507744,0.2737439007579036
BAYC,SAM,LightGBM,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",1.3870162944246796,5120,1498,0.2952476974287167,0.1342637640259594,0.1458968393379837,0.3194709364844748,0.2656848849393019,0.11641639691837155,0.05801325364159515,0.2737439007579036
BAYC,SDXL_VAE,OLS,False,{},1.3855900047562002,5120,1498,0.2732512547940065,0.1263719289641616,0.2684203435693434,0.3194709364844748,0.25720684819398615,0.11155561931646008,0.1171718917102077,0.2737439007579036
BAYC,SDXL_VAE,Ridge,False,"{""alpha"": 1000}",1.3845859017860909,5120,1498,0.27715561168525477,0.1265990433709328,0.2473645971055738,0.3194709364844748,0.2580897214205478,0.11111291335575224,0.1111008013728999,0.2737439007579036
BAYC,SDXL_VAE,ElasticNet,True,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1.3843807479674342,5120,1498,0.276449606785593,0.12630115950015214,0.25119412450076495,0.3194709364844748,0.2575980919904652,0.11055423348236357,0.11448406498835706,0.2737439007579036
BAYC,SDXL_VAE,PLS,False,"{""components"": 8}",1.3852191826900222,5120,1498,0.27486000508402514,0.12674600896535543,0.25978072334459745,0.3194709364844748,0.2578766817008042,0.11175061989805897,0.1125676763588338,0.2737439007579036
